Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Jolly O Gymkhana","Beast",2022,"[Vijay, Anirudh Ravichander]","A fun, upbeat party song celebrating life's joys.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Etharkum Thunindhavan Title Track","Etharkum Thunindhavan",2022,"[D. Imman]","An inspiring track about bravery and taking risks.",Inspiring,Folk,"[D. Imman, Pandiraj]"
"Mudhal Nee Mudivum Nee","Mudhal Nee Mudivum Nee",2022,"[Darbuka Siva]","A nostalgic melody about first love and lost opportunities.",Melancholic,Melody,"[Darbuka Siva, Darbuka Siva]"
"Yaathi Yaathi","Yaanai",2022,"[Anirudh Ravichander, Haricharan]","A high-energy track celebrating love and togetherness.",Fun,Folk,"[G. V. Prakash Kumar, Hari]"
"Master the Blaster","Master",2021,"[Anirudh Ravichander]","A fun, upbeat song that became an anthem for action-lovers.",Fun,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Unna Nenachu","Psycho",2020,"[Sid Sriram]","A soulful, melancholic song about unrequited love.",Melancholic,Melody,"[Ilaiyaraaja, Mysskin]"
"Adchithooku","Viswasam",2019,"[D. Imman, Aditya Gadhavi]","A high-energy song celebrating rural life and bravery.",Energetic,Folk,"[D. Imman, Siva]"

"Ennodu Nee Irundhaal","I",2015,"[Sid Sriram, A. R. Rahman]","A heartbreaking song about unfulfilled love and longing.",Sad,Melody,"[A. R. Rahman, Shankar]"
"Kannukkul Pothivaippen","Thuppakki",2012,"[Hariharan]","A soulful melody that conveys the deep pain of separation.",Sad,Melody,"[Harris Jayaraj, A. R. Murugadoss]"
"Yaar Azhaippadhu","Kaatru Veliyidai",2017,"[A. R. Rahman, Sathyaprakash]","A melancholic song depicting the loneliness of a lost soul.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
"Nenjukkul Peidhidum","Vaaranam Aayiram",2008,"[Hariharan, Devan Ekambaram]","A nostalgic song about lost love and memories.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Anbe Aaruyire","Anbe Aaruyire",2005,"[A. R. Rahman, Sujatha Mohan]","A sad melody expressing heartbreak and emotional turmoil.",Sad,Melody,"[A. R. Rahman, S. J. Surya]"
"Unna Nenachu","Psycho",2020,"[Sid Sriram]","A poignant melody about unrequited love and longing.",Sad,Melody,"[Ilaiyaraaja, Mysskin]"
"Pirai Thedum","Pithamagan",2003,"[Ilaiyaraaja, Vijay Yesudas]","A sorrowful tune that evokes loneliness and despair.",Sad,Folk,"[Ilaiyaraaja, Bala]"
"Sollividu Sollividu","Kuruthipunal",1995,"[Hariharan]","A tragic song with themes of loss and deep anguish.",Sad,Classical,"[A. R. Rahman, P. C. Sreeram]"
"Neeye Neeye","M. Kumaran S/O Mahalakshmi",2004,"[Karthik]","A melancholic song about the painful loss of a loved one.",Sad,Melody,"[Srikanth Deva, M. Raja]"
"Kanave Kanave","David",2013,"[Anirudh Ravichander]","A song filled with the despair of shattered dreams.",Sad,Melody,"[Anirudh Ravichander, Bejoy Nambiar]"
"Aaromale","Vinnaithaandi Varuvaayaa",2010,"[Alphonse Joseph]","A soul-stirring song of heartache and longing.",Sad,Folk,"[A. R. Rahman, Gautham Menon]"
"Idhayam","Billa II",2012,"[Shweta Pandit]","A moving song about inner turmoil and emotional conflict.",Sad,Melody,"[Yuvan Shankar Raja, Chakri Toleti]"
"Uyire Uyire","Bombay",1995,"[Hariharan, K. S. Chithra]","A touching love song filled with sadness and yearning.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
"Oru Deivam Thantha Poove","Kannathil Muthamittal",2002,"[Chinmayi]","A melancholic tune expressing the pain of separation.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
"Mudhal Mazhai","Bheema",2008,"[Hariharan, Mahathi]","A heart-rending melody about love and loss.",Sad,Melody,"[Harris Jayaraj, Lingusamy]"
"Evano Oruvan","Alai Payuthey",2000,"[Swarnalatha]","A sad melody about the loss of love and hope.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
"Kangal Irandal","Subramaniapuram",2008,"[Benny Dayal, Bellie Raj]","A melancholic tune with themes of lost love.",Sad,Folk,"[James Vasanthan, Sasikumar]"
"Aval Ulaga Azhagiye","Kaaviya Thalaivan",2014,"[Haricharan]","A tragic love song about unfulfilled dreams.",Sad,Folk,"[A. R. Rahman, Vasanthabalan]"
"Pookkal Pookkum","Madharasapattinam",2010,"[Harini, Roop Kumar Rathod]","A haunting melody about the pain of separation.",Sad,Melody,"[G. V. Prakash Kumar, Vijay]"
"Nenjil Nenjil","Engeyum Kadhal",2011,"[Vijay Prakash]","A sad melody about the distance between lovers.",Sad,Melody,"[Harris Jayaraj, Prabhu Deva]"
"Ennodu Nee Irundhaal (Reprise)","I",2015,"[Chinmayi]","A reprise version filled with sorrow and emotional depth.",Sad,Melody,"[A. R. Rahman, Shankar]"
"Uyirum Neeye","Pavithra",1994,"[P. Unnikrishnan]","A song that expresses deep sorrow and loss.",Sad,Classical,"[A. R. Rahman, K. Subash]"
"Ondra Renda Aasaigal","Kaakha Kaakha",2003,"[Bombay Jayashree, Karthik]","A sad tune about unrequited love and desire.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Unakkena Iruppen","Kaadhal","2004,"[Haricharan]","A melancholic song of love, loss, and promise.",Sad,Melody,"[Joshua Sridhar, Balaji Sakthivel]"
"Munbe Vaa","Sillunu Oru Kaadhal",2006,"[Shreya Ghoshal, Naresh Iyer]","A touching love song with undercurrents of pain.",Sad,Melody,"[A. R. Rahman, N. Krishna]"
"Vizhigalil Oru Vaanavil","Deiva Thirumagal",2011,"[G. V. Prakash Kumar]","A heartbreaking melody about longing and love.",Sad,Melody,"[G. V. Prakash Kumar, Vijay]"
"O Butterfly","Meera",1992,"[K. S. Chithra, S. P. Balasubrahmanyam]","A sorrowful song about the fleeting nature of happiness.",Sad,Folk,"[Ilaiyaraaja, P. C. Sreeram]"
"Engae Pogudho Vaanam","Kochadaiiyaan",2014,"[S. P. Balasubrahmanyam]","A reflective song about life's unpredictable paths.",Sad,Melody,"[A. R. Rahman, Soundarya Rajinikanth]"
"Nila Nee Vaanam","Billa II",2012,"[Shwetha Mohan]","A soft, emotional track about separation.",Sad,Melody,"[Yuvan Shankar Raja, Chakri Toleti]"
"En Anbe","Sethu",1999,"[Sriram Parthasarathy]","A heart-wrenching melody about unfulfilled love.",Sad,Folk,"[Ilaiyaraaja, Bala]"
"Suttrum Vizhi","Ghajini",2005,"[Sriram Parthasarathy]","A melancholic tune filled with longing and love.",Sad,Melody,"[Harris Jayaraj, A. R. Murugadoss]"
"Nenjukkul Peidhidum","Vaaranam Aayiram",2008,"[Hariharan, Devan]","A love song laced with sadness and memories.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Uyirum Neeye","Pavithra",1994,"[Unnikrishnan]","A poignant melody about the loss of a loved one.",Sad,Classical,"[A. R. Rahman, K. Subash]"
"Minnale Nee","May Madham",1994,"[S. P. Balasubrahmanyam]","A heartbreaking song of love, longing, and waiting.",Sad,Melody,"[A. R. Rahman, Balu Mahendra]"
"Narumugaye","Iruvar",1997,"[Unnikrishnan, Bombay Jayashree]","A soulful melody filled with emotions of separation.",Sad,Classical,"[A. R. Rahman, Mani Ratnam]"
"Thuli Thuli","Paiyaa",2010,"[Haricharan]","A song about the pain of love and longing.",Sad,Melody,"[Yuvan Shankar Raja, N. Lingusamy]"
"Vaaji Vaaji","Sivaji",2007,"[Hariharan]","A song filled with grandeur but underlying emotional pain.",Sad,Melody,"[A. R. Rahman, Shankar]"
"Kangal Irandal","Subramaniapuram",2008,"[Bellie Raj, Deepa Mariam]","A melancholic tune that evokes deep sadness.",Sad,Folk,"[James Vasanthan, Sasikumar]"
"Ennai Thalatta Varuvalo","Kadhalukku Mariyadhai",1997,"[Hariharan]","A song of longing and love, set against a backdrop of sadness.",Sad,Melody,"[Ilaiyaraaja, Fazil]"
"Idhayathai Yedho Ondru","Yennai Arindhaal",2015,"[Chinmayi, Karthik]","A sad melody about the pain of love.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Oru Paadhi Kadhavu","Thirumanam Ennum Nikkah",2014,"[Shweta Pandit, Abhay Jodhpurkar]","A heart-wrenching melody about separation.",Sad,Melody,"[Ghibran, Anees]"
"Kaathalae Kaathalae","96",2018,"[Chinmayi, Govind Vasantha]","A soulful song about love and its bittersweet nature.",Sad,Folk,"[Govind Vasantha, Prem Kumar]"
"Nenjukkul Peidhidum","Vaaranam Aayiram",2008,"[Hariharan, Devan]","A sad melody about love and the passage of time.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Kadhal Rojave","Roja",1992,"[S. P. Balasubrahmanyam]","A sad, poignant song about unfulfilled love.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
"Nee Paartha Parvaikku","Hey Ram",2000,"[Asha Bhosle]","A soulful, sad song about longing and unfulfilled desires.",Sad,Classical,"[Ilaiyaraaja, Kamal Haasan]"
"Aayiram Kannumai","Anbulla Rajinikanth",1984,"[K. J. Yesudas]","A heartbreaking song that evokes deep emotion.",Sad,Melody,"[Ilaiyaraaja, S. P. Muthuraman]"
"Poongatrile","Uyire",1998,"[Sadhana Sargam]","A song filled with yearning and melancholic love.",Sad,Melody,"[A. R. Rahman, Mani Ratnam]"
